Code Etb,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C99,RECRUTEMENT NATIONAL,P01MAL01,MEDECINE,16.30,16.79,
C99,RECRUTEMENT NATIONAL,P02MAL01,PHARMACIE,15.82,16.30,
C99,RECRUTEMENT NATIONAL,P03MAL01,MEDECINE DENTAIRE,16.65,17.15,
Z15,CENTRE DE FORMATION CONTINUE ADRAR,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.09,10.00,10.02
Z15,CENTRE DE FORMATION CONTINUE ADRAR,G02FCL01,DROIT (FORMATION CONTINUE),10.04,10.03,--
Z15,CENTRE DE FORMATION CONTINUE ADRAR,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.13,10.24,10.09
Z15,CENTRE DE FORMATION CONTINUE ADRAR,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.01,10.01,
P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,12.28,13.05,
U12,UNIV. ADRAR,A00LAL01,SCIENCES ET TECHNOLOGIES,10.01,,
U12,UNIV. ADRAR,A05TCL01,GENIE CIVIL,10.26,,
U12,UNIV. ADRAR,A08TCL01,GENIE DES PROCEDES,10.80,,
U12,UNIV. ADRAR,A16TCL01,ELECTROTECHNIQUE,11.03,,
U12,UNIV. ADRAR,A19TCL01,GENIE MECANIQUE,13.21,,
U12,UNIV. ADRAR,B00LAL01,SCIENCES DE LA MATIERE,10.00,,
U12,UNIV. ADRAR,C01LAL01,INFORMATIQUE,10.03,10.40,
U12,UNIV. ADRAR,C02LAL01,MATHEMATIQUES,10.60,10.00,
U12,UNIV. ADRAR,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.41,--,
U12,UNIV. ADRAR,D03TCL01,SCIENCES AGRONOMIQUES,10.07,10.02,
U12,UNIV. ADRAR,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.00,11.00,12.00
U12,UNIV. ADRAR,G01LAL02,SCIENCES POLITIQUES,10.00,10.20,11.82
U12,UNIV. ADRAR,G02LAL01,DROIT,10.05,10.78,--
U12,UNIV. ADRAR,H01LAL01,LANGUE FRANCAISE,11.09,11.38,11.09
U12,UNIV. ADRAR,H06LAL01,LANGUE ANGLAISE,11.00,11.18,11.02
U12,UNIV. ADRAR,I17LAL02,SCIENCES HUMAINES,10.50,11.45,
U12,UNIV. ADRAR,I19LAL01,SCIENCES SOCIALES,11.35,12.78,
U12,UNIV. ADRAR,I20LAL01,SCIENCES ISLAMIQUES,10.20,10.90,
U12,UNIV. ADRAR,L00LAL01,LANGUE ET LITTERATURE ARABES,10.00,10.16,
U12,UNIV. ADRAR,N05IAL02,ARCHITECTURE,11.06,,
Z46,CENTRE DE FORMATION CONTINUE CHLEF,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.00,10.00,10.05
Z46,CENTRE DE FORMATION CONTINUE CHLEF,G02FCL01,DROIT (FORMATION CONTINUE),10.02,10.14,11.33
Z46,CENTRE DE FORMATION CONTINUE CHLEF,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.04,10.36,
C16,UNIV. CHLEF,A00LAL04,SCIENCES ET TECHNOLOGIES,10.00,,
C16,UNIV. CHLEF,A05TCL01,GENIE CIVIL,10.14,,
C16,UNIV. CHLEF,A08TCL01,GENIE DES PROCEDES,10.08,,
C16,UNIV. CHLEF,A16TCL01,ELECTROTECHNIQUE,10.49,,
C16,UNIV. CHLEF,A19TCL01,GENIE MECANIQUE,10.55,,
C16,UNIV. CHLEF,B00LAL03,SCIENCES DE LA MATIERE,10.00,,
C16,UNIV. CHLEF,C01LAL03,INFORMATIQUE,12.93,13.46,
C16,UNIV. CHLEF,C02LAL03,MATHEMATIQUES,10.39,10.05,
C16,UNIV. CHLEF,D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,11.90,--,
C16,UNIV. CHLEF,D03TCL01,SCIENCES AGRONOMIQUES,10.55,10.28,
C16,UNIV. CHLEF,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.50,10.58,
C16,UNIV. CHLEF,E03LAL02,GEOLOGIE,10.24,10.28,
C16,UNIV. CHLEF,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.04,10.97,12.06
C16,UNIV. CHLEF,G01LAL03,SCIENCES POLITIQUES,10.00,10.02,10.67
C16,UNIV. CHLEF,G02LAL01,DROIT,10.38,11.07,11.84
C16,UNIV. CHLEF,H01LAL03,LANGUE FRANCAISE,11.65,12.40,13.28
C16,UNIV. CHLEF,H03IAL24,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",13.02,,
C16,UNIV. CHLEF,H06LAL01,LANGUE ANGLAISE,12.73,13.60,14.52
C16,UNIV. CHLEF,I17LAL02,SCIENCES HUMAINES,10.00,10.00,
C16,UNIV. CHLEF,I19LAL03,SCIENCES SOCIALES,10.44,11.19,
C16,UNIV. CHLEF,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.00,,
C16,UNIV. CHLEF,L00LAL02,LANGUE ET LITTERATURE ARABES,10.23,10.95,
C16,UNIV. CHLEF,N01LAL01,GESTION DES TECHNIQUES URBAINES,10.02,,
C16,UNIV. CHLEF,N05IAL02,ARCHITECTURE,11.99,,
C43,C. UNIV. AFLOU,C01LAL02,INFORMATIQUE,11.23,10.09,
C43,C. UNIV. AFLOU,D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,11.13,--,
