Code Etb,Etablissement,Code Fil,Filiere,Min1,Min2,Min3
C43,C. UNIV. AFLOU,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.00,10.00,10.33
C43,C. UNIV. AFLOU,G02LAL02,DROIT,10.12,10.82,--
C43,C. UNIV. AFLOU,H01LAL02,LANGUE FRANCAISE,11.09,11.02,11.13
C43,C. UNIV. AFLOU,H06LAL03,LANGUE ANGLAISE,11.00,11.76,12.58
C43,C. UNIV. AFLOU,I17LAL02,SCIENCES HUMAINES,10.00,10.40,
C43,C. UNIV. AFLOU,I19LAL02,SCIENCES SOCIALES,10.05,12.02,
C43,C. UNIV. AFLOU,L00LAL01,LANGUE ET LITTERATURE ARABES,10.00,10.00,
Z42,CENTRE DE FORMATION CONTINUE LAGHOUAT,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.65,10.12,10.00
Z42,CENTRE DE FORMATION CONTINUE LAGHOUAT,G02FCL01,DROIT (FORMATION CONTINUE),10.00,10.02,--
Z42,CENTRE DE FORMATION CONTINUE LAGHOUAT,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.12,10.07,10.06
Z42,CENTRE DE FORMATION CONTINUE LAGHOUAT,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.00,10.03,
C18,UNIV. LAGHOUAT,A00LAL01,SCIENCES ET TECHNOLOGIES,10.18,,
C18,UNIV. LAGHOUAT,A00TCL02,SCIENCES ET TECHNOLOGIES,11.00,,
C18,UNIV. LAGHOUAT,A05IAN01,GENIE CIVIL (CONSTRUCTIONS CIVILS ET ENVIRONNEMENT),11.03,,
C18,UNIV. LAGHOUAT,A05IAN02,GENIE CIVIL (VOIRIE ET RESEAUX DIVERS),11.06,,
C18,UNIV. LAGHOUAT,A05TCL01,GENIE CIVIL,10.17,,
C18,UNIV. LAGHOUAT,A08TCL01,GENIE DES PROCEDES,10.16,,
C18,UNIV. LAGHOUAT,A09IAN04,ELECTROTECHNIQUE,12.09,,
C18,UNIV. LAGHOUAT,A15IAN01,TRAVAUX PUBLICS,11.58,,
C18,UNIV. LAGHOUAT,A16TCL01,ELECTROTECHNIQUE,10.21,,
C18,UNIV. LAGHOUAT,A19TCL01,GENIE MECANIQUE,10.60,,
C18,UNIV. LAGHOUAT,B00LAL01,SCIENCES DE LA MATIERE,10.00,,
C18,UNIV. LAGHOUAT,C01LAL03,INFORMATIQUE,10.91,11.26,
C18,UNIV. LAGHOUAT,C01TCL02,INFORMATIQUE,12.51,12.87,
C18,UNIV. LAGHOUAT,C02LAL03,MATHEMATIQUES,10.09,10.00,
C18,UNIV. LAGHOUAT,CF0LAN01,MATHEMATIQUES APPLIQUEES + SCIENCES ECONOMIQUES,10.41,10.22,
C18,UNIV. LAGHOUAT,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.00,10.07,
C18,UNIV. LAGHOUAT,D03TCL01,SCIENCES AGRONOMIQUES,10.00,10.11,
C18,UNIV. LAGHOUAT,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.00,10.00,10.84
C18,UNIV. LAGHOUAT,F04EAN01,SCIENCES ECONOMIQUES (A DISTANCE),10.30,11.48,12.35
C18,UNIV. LAGHOUAT,G01LAL01,SCIENCES POLITIQUES,10.00,10.10,10.13
C18,UNIV. LAGHOUAT,G02LAL03,DROIT,10.44,11.19,12.23
C18,UNIV. LAGHOUAT,H01LAL01,LANGUE FRANCAISE,11.03,11.04,11.49
C18,UNIV. LAGHOUAT,H02LAL01,LANGUE ESPAGNOLE,11.47,12.27,13.09
C18,UNIV. LAGHOUAT,H03IAL23,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",13.00,,
C18,UNIV. LAGHOUAT,H06LAL01,LANGUE ANGLAISE,11.98,12.74,13.64
C18,UNIV. LAGHOUAT,I17LAL01,SCIENCES HUMAINES,10.00,10.11,
C18,UNIV. LAGHOUAT,I19LAL01,SCIENCES SOCIALES,10.31,11.04,
C18,UNIV. LAGHOUAT,I20LAL02,SCIENCES ISLAMIQUES,11.33,12.14,
C18,UNIV. LAGHOUAT,IC0LAN01,INFORMATIQUE + SCIENCES DE L INFORMATION ET DE LA COMMUNICATION,13.08,13.30,
C18,UNIV. LAGHOUAT,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.54,,
C18,UNIV. LAGHOUAT,L00LAL02,LANGUE ET LITTERATURE ARABES,10.00,10.25,
C18,UNIV. LAGHOUAT,N01IAN01,GESTION DES TECHNIQUES URBAINES,10.00,,
C18,UNIV. LAGHOUAT,N01LAL01,GESTION DES TECHNIQUES URBAINES,10.00,,
C18,UNIV. LAGHOUAT,N02IAN01,METIERS DE LA VILLE,10.01,,
C18,UNIV. LAGHOUAT,N05IAL01,ARCHITECTURE,12.05,,
C18,UNIV. LAGHOUAT,P04VAL01,SCIENCES VETERINAIRES,11.54,12.16,
Z05,CENTRE DE FORMATION CONTINUE OUM EL BOUAGHI,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.07,10.10,10.15
Z05,CENTRE DE FORMATION CONTINUE OUM EL BOUAGHI,G02FCL01,DROIT (FORMATION CONTINUE),10.04,10.17,10.03
Z05,CENTRE DE FORMATION CONTINUE OUM EL BOUAGHI,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.12,10.04,10.53
Z05,CENTRE DE FORMATION CONTINUE OUM EL BOUAGHI,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.00,10.02,
E09,UNIV. OUM EL BOUAGHI,A00LAL01,SCIENCES ET TECHNOLOGIES,10.02,,
E09,UNIV. OUM EL BOUAGHI,A05TCL01,GENIE CIVIL,10.19,,
E09,UNIV. OUM EL BOUAGHI,A08TCL01,GENIE DES PROCEDES,10.43,,
E09,UNIV. OUM EL BOUAGHI,A16TCL01,ELECTROTECHNIQUE,10.18,,
E09,UNIV. OUM EL BOUAGHI,A19TCL01,GENIE MECANIQUE,10.37,,
E09,UNIV. OUM EL BOUAGHI,B00LAL01,SCIENCES DE LA MATIERE,10.00,,
E09,UNIV. OUM EL BOUAGHI,C01LAL01,INFORMATIQUE,10.31,10.80,
E09,UNIV. OUM EL BOUAGHI,C02LAL01,MATHEMATIQUES,10.03,10.02,
E09,UNIV. OUM EL BOUAGHI,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,11.19,12.16,
E09,UNIV. OUM EL BOUAGHI,D03TCL01,SCIENCES AGRONOMIQUES,10.50,--,
E09,UNIV. OUM EL BOUAGHI,E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.42,10.01,
E09,UNIV. OUM EL BOUAGHI,E03LAL01,GEOLOGIE,10.16,10.61,
E09,UNIV. OUM EL BOUAGHI,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.28,11.25,12.79
E09,UNIV. OUM EL BOUAGHI,G01LAL02,SCIENCES POLITIQUES,10.00,10.06,10.09
E09,UNIV. OUM EL BOUAGHI,G02LAL01,DROIT,10.50,11.23,12.05
E09,UNIV. OUM EL BOUAGHI,H01LAL01,LANGUE FRANCAISE,11.00,11.12,11.06
E09,UNIV. OUM EL BOUAGHI,H06LAL01,LANGUE ANGLAISE,11.00,11.48,12.31
E09,UNIV. OUM EL BOUAGHI,I17LAL01,SCIENCES HUMAINES,10.00,10.01,
E09,UNIV. OUM EL BOUAGHI,I19LAL01,SCIENCES SOCIALES,10.70,11.49,
E09,UNIV. OUM EL BOUAGHI,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.00,,
E09,UNIV. OUM EL BOUAGHI,K00LAL01,ARTS,--,10.16,
E09,UNIV. OUM EL BOUAGHI,L00LAL03,LANGUE ET LITTERATURE ARABES,10.00,10.03,
E09,UNIV. OUM EL BOUAGHI,N01FPN04,GESTION DES TECHNIQUES URBAINES (FORMATIONS PROFESSIONNALISANTES),10.04,10.24,
E09,UNIV. OUM EL BOUAGHI,N01LAL01,GESTION DES TECHNIQUES URBAINES,10.00,,
E09,UNIV. OUM EL BOUAGHI,N02FPN06,METIERS DE LA VILLE (DESIGN ET ARCHITECTURE INTERIEURE) (FORMATIONS PROFESSIONNALISANTES),11.81,12.45,
E09,UNIV. OUM EL BOUAGHI,N02FPN07,METIERS DE LA VILLE (INFOGRAPHIE EN ARCHITECTURE) (FORMATIONS PROFESSIONNALISANTES),10.00,10.02,
E09,UNIV. OUM EL BOUAGHI,N05IAL01,ARCHITECTURE,11.09,,
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,A18TPN03,GENIE INDUSTRIEL (FORMATIONS PROFESSIONNALISANTES),11.36,11.88,
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,A20TPN01,TELECOMMUNICATIONS (FORMATIONS PROFESSIONNALISANTES),13.12,13.79,
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,B02TPN01,PHYSIQUE (FORMATIONS PROFESSIONNALISANTES),11.52,,
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,D07TPN03,SCIENCES ALIMENTAIRES (FORMATIONS PROFESSIONNALISANTES),12.59,15.28,
E50,UNIV. OUM EL BOUAGHI – I.S.T.A,F00TPN02,SCIENCES DE GESTION SCIENCES FINANCIERES ET COMPTABILITE (FORMATIONS PROFESSIONNALISANTES),13.32,--,--
E44,C . UNIV BARIKA,A00LAL04,SCIENCES ET TECHNOLOGIES,10.02,,
E44,C . UNIV BARIKA,C01LAL02,INFORMATIQUE,11.05,11.11,
E44,C . UNIV BARIKA,C02LAL02,MATHEMATIQUES,10.34,10.02,
E44,C . UNIV BARIKA,F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.00,10.01,10.00
E44,C . UNIV BARIKA,G02LAL02,DROIT,10.00,10.06,10.52
E44,C . UNIV BARIKA,H01LAL03,LANGUE FRANCAISE,--,11.00,11.02
E44,C . UNIV BARIKA,H06LAL03,LANGUE ANGLAISE,11.01,11.14,11.00
E44,C . UNIV BARIKA,I17LAL02,SCIENCES HUMAINES,10.09,10.41,
E44,C . UNIV BARIKA,I19LAL03,SCIENCES SOCIALES,10.00,10.07,
E44,C . UNIV BARIKA,L00LAL03,LANGUE ET LITTERATURE ARABES,10.02,10.00,
Z06,CENTRE DE FORMATION CONTINUE BATNA,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.00,10.00,10.00
Z06,CENTRE DE FORMATION CONTINUE BATNA,G02FCL01,DROIT (FORMATION CONTINUE),10.02,10.02,11.11
Z06,CENTRE DE FORMATION CONTINUE BATNA,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.23,10.98,11.80
W92,E.N.S DES ENERGIES RENOUVELABLES DE L ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE BATNA,A00CAN12,FB ST ECOLE NAT SUP DES ENERGIES RENOUVELABLES DE ENVIRONNEMENT ET DU DEVELOPPEMENT DURABLE BATNA,14.98,,
E39,INSTITUT VETERINAIRE UNIV.BATNA 1,P04VAN03,SCIENCES VETERINAIRES,13.15,13.83,
E08,UNIV. BATNA 1,B00LAL01,SCIENCES DE LA MATIERE,10.00,,
E08,UNIV. BATNA 1,D00LAL02,SCIENCES DE LA NATURE ET DE LA VIE,10.00,10.48,
E08,UNIV. BATNA 1,D03TCL01,SCIENCES AGRONOMIQUES,10.08,10.11,
E08,UNIV. BATNA 1,F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.10,11.02,12.13
E08,UNIV. BATNA 1,G01LAL01,SCIENCES POLITIQUES,10.00,10.00,10.14
E08,UNIV. BATNA 1,G02LAL01,DROIT,10.17,10.85,11.69
E08,UNIV. BATNA 1,I17LAL01,SCIENCES HUMAINES,10.00,10.00,
E08,UNIV. BATNA 1,I19LAL01,SCIENCES SOCIALES,10.28,11.01,
E08,UNIV. BATNA 1,I20LAL01,SCIENCES ISLAMIQUES,10.56,11.31,
E08,UNIV. BATNA 1,L00LAL01,LANGUE ET LITTERATURE ARABES,10.00,10.01,
E08,UNIV. BATNA 1,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.00,10.00,
E08,UNIV. BATNA 1,N01LAL01,GESTION DES TECHNIQUES URBAINES,10.00,,
E08,UNIV. BATNA 1,N02FPN01,MANAGEMENT DES PROJETS DE CONSTRUCTION (FORMATIONS PROFESSIONNALISANTES),11.30,,
E08,UNIV. BATNA 1,N05IAL01,ARCHITECTURE,12.16,,
E45,UNIV. BATNA 2,A00LAL01,SCIENCES ET TECHNOLOGIES,10.19,,
E45,UNIV. BATNA 2,A00TCL01,SCIENCES ET TECHNOLOGIES,11.66,,
E45,UNIV. BATNA 2,A05TCL01,GENIE CIVIL,10.03,,
E45,UNIV. BATNA 2,A08TCL01,GENIE DES PROCEDES,10.10,,
E45,UNIV. BATNA 2,A16TCL01,ELECTROTECHNIQUE,10.07,,
E45,UNIV. BATNA 2,A19LAN02,GENIE MECANIQUE (TECHNOLOGIE AUTOMOBILE),12.36,,
E45,UNIV. BATNA 2,A19TCL01,GENIE MECANIQUE,10.01,,
E45,UNIV. BATNA 2,A21FPN01,HYGIENE ET SECURITE INDUSTRIELLE (FORMATIONS PROFESSIONNALISANTES),13.83,,
E45,UNIV. BATNA 2,A21LAN01,HYGIENE ET SECURITE INDUSTRIELLE,12.98,,
E45,UNIV. BATNA 2,C01LAL01,INFORMATIQUE,12.54,13.15,
E45,UNIV. BATNA 2,C01TCL01,INFORMATIQUE,13.50,14.19,
E45,UNIV. BATNA 2,C02LAL01,MATHEMATIQUES,10.09,10.01,
E45,UNIV. BATNA 2,E01LAL02,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,10.00,10.00,
E45,UNIV. BATNA 2,E03LAL01,GEOLOGIE,10.05,10.61,
E45,UNIV. BATNA 2,H01LAL01,LANGUE FRANCAISE,11.01,11.25,11.02
E45,UNIV. BATNA 2,H03IAL05,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",13.67,,
E45,UNIV. BATNA 2,H06LAL01,LANGUE ANGLAISE,12.45,13.30,14.19
E45,UNIV. BATNA 2,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.18,,
E45,UNIV. BATNA 2,PC0LAN02,MEDECINE + INFORMATIQUE,17.60,18.26,
E52,UNIV. BATNA 2 (SCIENCES BIOLOGIQUES),D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,12.65,--,
Z01,CENTRE DE FORMATION CONTINUE BEJAIA,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.01,10.05,10.00
Z01,CENTRE DE FORMATION CONTINUE BEJAIA,G02FCL01,DROIT (FORMATION CONTINUE),10.00,13.18,--
Z01,CENTRE DE FORMATION CONTINUE BEJAIA,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.38,10.98,11.75
Z01,CENTRE DE FORMATION CONTINUE BEJAIA,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.04,10.98,
W93,E.S EN SCIENCES ET TECHNOLOGIES DE L INFORMATIQUE ET DU NUMERIQUE BEJAIA,C00CAN03,FB INF ECOLE SUPERIEURE EN SCIENCES ET TECHNOLOGIES DE L INFORMATIQUE ET DU NUMERIQUE BEJAIA,17.13,17.47,17.81
C19,UNIV. BEJAIA,A00LAL02,SCIENCES ET TECHNOLOGIES,10.00,,
C19,UNIV. BEJAIA,A00TCL02,SCIENCES ET TECHNOLOGIES,13.02,,
C19,UNIV. BEJAIA,A05TCL01,GENIE CIVIL,11.74,,
C19,UNIV. BEJAIA,A08TCL01,GENIE DES PROCEDES,10.00,,
C19,UNIV. BEJAIA,A12LAL01,HYDRAULIQUE,11.49,,
C19,UNIV. BEJAIA,A16TCL01,ELECTROTECHNIQUE,11.63,,
C19,UNIV. BEJAIA,A19TCL01,GENIE MECANIQUE,10.21,,
C19,UNIV. BEJAIA,B00LAL01,SCIENCES DE LA MATIERE,10.06,,
C19,UNIV. BEJAIA,C01LAL01,INFORMATIQUE,14.12,14.82,
C19,UNIV. BEJAIA,C01TCL02,INFORMATIQUE,15.25,16.02,
C19,UNIV. BEJAIA,C02LAL01,MATHEMATIQUES,10.13,10.00,
C19,UNIV. BEJAIA,CF0LAN05,INFORMATIQUE + SCIENCES ECONOMIQUES,14.35,15.36,
C19,UNIV. BEJAIA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.00,10.30,
C19,UNIV. BEJAIA,D07FPN01,SCIENCES ALIMENTAIRES (FORMATIONS PROFESSIONNALISANTES),12.16,,
C19,UNIV. BEJAIA,D07IAN01,SCIENCES ALIMENTAIRES,12.67,,
C19,UNIV. BEJAIA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.31,11.26,12.37
C19,UNIV. BEJAIA,G02LAL01,DROIT,10.00,10.17,--
C19,UNIV. BEJAIA,GC0LAN02,INFORMATIQUE + DROIT,13.57,14.19,
C19,UNIV. BEJAIA,H01LAL01,LANGUE FRANCAISE,12.89,13.73,15.35
C19,UNIV. BEJAIA,H03IAN11,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, AMAZIGH)",13.16,,
C19,UNIV. BEJAIA,H06LAL01,LANGUE ANGLAISE,13.80,14.75,--
C19,UNIV. BEJAIA,I17LAL01,SCIENCES HUMAINES,11.01,11.85,
C19,UNIV. BEJAIA,I19LAL01,SCIENCES SOCIALES,11.55,12.57,
C19,UNIV. BEJAIA,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,11.49,,
C19,UNIV. BEJAIA,L00LAL01,LANGUE ET LITTERATURE ARABES,10.00,10.00,
C19,UNIV. BEJAIA,M00LAL01,LANGUE ET CULTURE AMAZIGHES,10.39,11.18,
C19,UNIV. BEJAIA,N05IAL01,ARCHITECTURE,13.46,,
C19,UNIV. BEJAIA,NI0LAN01,ARCHITECTURE + SCIENCES SOCIALES (SOCIOLOGIE),14.31,,
C19,UNIV. BEJAIA,PC0LAN05,MEDECINE + INFORMATIQUE,17.50,--,
Z07,CENTRE DE FORMATION CONTINUE BISKRA,F00FCL01,SCIENCES ECONOMIQUES DE GESTION ET SCIENCES COMMERCIALES (FORMATION CONTINUE),10.08,10.32,10.24
Z07,CENTRE DE FORMATION CONTINUE BISKRA,G02FCL01,DROIT (FORMATION CONTINUE),10.00,10.13,--
Z07,CENTRE DE FORMATION CONTINUE BISKRA,H06FCL01,ANGLAIS TECHNIQUE (FORMATION CONTINUE),10.11,10.00,10.05
Z07,CENTRE DE FORMATION CONTINUE BISKRA,I03FCL01,SCIENCES HUMAINES ET SOCIALES SCIENCES DE L INFORMATION ET DE LA COMMUNICATION (FORMATION CONTINUE),10.02,10.87,
E13,UNIV. BISKRA,A00LAL03,SCIENCES ET TECHNOLOGIES,10.00,,
E13,UNIV. BISKRA,A00TCL01,SCIENCES ET TECHNOLOGIES,11.00,,
E13,UNIV. BISKRA,A05TCL01,GENIE CIVIL,10.62,,
E13,UNIV. BISKRA,A08TCL01,GENIE DES PROCEDES,10.23,,
E13,UNIV. BISKRA,A12LAL02,HYDRAULIQUE,10.00,,
E13,UNIV. BISKRA,A16LAN01,ELECTROTECHNIQUE (ENERGIES RENOUVELABLES),11.89,,
E13,UNIV. BISKRA,A16TCL01,ELECTROTECHNIQUE,10.50,,
E13,UNIV. BISKRA,A19TCL01,GENIE MECANIQUE,10.14,,
E13,UNIV. BISKRA,B00LAL01,SCIENCES DE LA MATIERE,10.10,,
E13,UNIV. BISKRA,B02FPN01,PHYSIQUE (FORMATIONS PROFESSIONNALISANTES),10.23,,
E13,UNIV. BISKRA,C01FPN04,INFORMATIQUE (FORMATIONS PROFESSIONNALISANTES),12.20,12.73,
E13,UNIV. BISKRA,C01LAL01,INFORMATIQUE,10.07,10.00,
E13,UNIV. BISKRA,C01TCL01,INFORMATIQUE,12.41,12.00,
E13,UNIV. BISKRA,C02LAL01,MATHEMATIQUES,11.03,10.20,
E13,UNIV. BISKRA,D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,10.04,10.12,
E13,UNIV. BISKRA,D03TCL01,SCIENCES AGRONOMIQUES,10.02,10.30,
E13,UNIV. BISKRA,E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,11.00,--,
E13,UNIV. BISKRA,E03LAL03,GEOLOGIE,10.51,10.80,
E13,UNIV. BISKRA,F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",10.00,10.00,10.00
E13,UNIV. BISKRA,G01LAL01,SCIENCES POLITIQUES,10.00,10.10,12.21
E13,UNIV. BISKRA,G02LAL03,DROIT,10.34,11.18,11.95
E13,UNIV. BISKRA,H01LAL01,LANGUE FRANCAISE,11.03,11.03,11.01
E13,UNIV. BISKRA,H06LAL01,LANGUE ANGLAISE,11.00,11.00,11.02
E13,UNIV. BISKRA,I17LAL01,SCIENCES HUMAINES,10.00,10.05,
E13,UNIV. BISKRA,I19LAL01,SCIENCES SOCIALES,10.81,11.61,
E13,UNIV. BISKRA,J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,10.00,,
